"","state","year","avg_TSO4","avg_TNO3","avg_TNH4","avg_NSO4","avg_NHNO3","avg_WSO2","avg_WNO3","avg_SO2","avg_NO3","avg_FLOW_VOLUME"
"1","AK","1999",0.328401075268817,0.0801064516129032,0.10662688172043,0.118610869565217,0.10556847826087,0.458067741935484,0.0990129032258065,0.538234782608696,0.184315217391304,28.3648762376238
"2","AK","2000",0.317944444444444,0.0753565656565657,0.100383838383838,0.0735151515151515,0.0842454545454545,0.304560606060606,0.0964818181818182,0.353593939393939,0.158263636363636,29.4978212121212
"3","AK","2001",0.347665346534653,0.0652148514851485,0.0987475247524753,0.048429702970297,0.0839930693069307,0.352950495049505,0.0819970297029703,0.385243564356436,0.147871287128713,29.4274932038835
"4","AK","2002",0.351676923076923,0.0740673076923077,0.123894230769231,0.123333653846154,0.132477884615385,0.290336538461538,0.0789666666666667,0.372605769230769,0.204434615384615,29.4631875
"5","AK","2003",0.347709,0.057335,0.112656,0.125785,0.107068,0.314131,NA,0.39803,0.162697,29.487853
"6","AK","2004",0.354990625,0.1330671875,0.171803125,0.1535234375,0.11854375,0.2905078125,NA,0.392915625,0.249728125,29.3387359375
"7","AK","2005",0.347661538461538,0.0825519230769231,0.141086538461538,0.15135,0.0999769230769231,0.388438461538462,NA,0.489388461538462,0.180942307692308,30.3034660377358
"8","AK","2006",0.4807,0.059021568627451,0.122947058823529,0.122492156862745,0.0736019607843137,0.531543137254902,NA,0.613239215686274,0.131450980392157,29.7254882352941
"9","AK","2007",0.379390384615385,0.0623615384615385,0.111501923076923,0.181540384615385,0.0807519230769231,0.387392307692308,NA,0.508475,0.141825,29.8129865384615
"10","AK","2008",0.429562264150943,0.070011320754717,0.119279245283019,0.170620754716981,0.0707622641509434,0.378466037735849,NA,0.492269811320755,0.139643396226415,29.194058490566
"11","AK","2009",0.593105769230769,0.0666903846153846,0.148532692307692,0.143319230769231,0.0908,0.358938461538462,NA,0.454528846153846,0.156053846153846,29.7901365384615
"12","AK","2010",0.309472549019608,0.0646,0.101264705882353,0.139592156862745,0.0615392156862745,0.404625490196078,NA,0.497733333333333,0.125160784313725,29.8617137254902
"13","AK","2011",0.371161538461538,0.0548461538461539,0.1158,0.108163461538462,0.0589230769230769,0.275213461538462,NA,0.347359615384615,0.112844230769231,29.5854365384615
"14","AK","2012",0.322811320754717,0.067388679245283,0.105303773584906,0.153862264150943,0.0629811320754717,0.34062641509434,NA,0.443252830188679,0.129367924528302,28.5286018867925
"15","AK","2013",0.432982692307692,0.0541711538461538,0.123107692307692,0.153901923076923,0.0744461538461538,0.271465384615385,NA,0.374121153846154,0.127426923076923,29.9285173076923
"16","AK","2014",0.325059615384615,0.0467019230769231,0.103188461538462,0.1207,0.0624173076923077,0.268805769230769,NA,0.349305769230769,0.108128846153846,29.8857769230769
"17","AK","2015",0.276851923076923,0.0498403846153846,0.0958423076923077,0.117863461538462,0.0759153846153846,0.318038461538462,NA,0.396661538461538,0.12455,29.4110307692308
"18","AK","2016",0.193554901960784,0.0430078431372549,0.0656843137254902,0.0914137254901961,0.0513607843137255,0.252633333333333,NA,0.31361568627451,0.093556862745098,30.4932039215686
"19","AK","2017",0.276296,0.052248,0.087726,0.069002,0.05518,0.24673,NA,0.29275,0.10655,29.712004
"20","AK","2018",0.223503846153846,0.0565211538461538,0.0770807692307692,0.0744576923076923,0.0482307692307692,0.161707692307692,NA,0.211369230769231,0.103988461538462,29.9899673076923
"21","AK","2019",0.0775,0.0297,0.0215,0.0554,0.0302,0.2233,NA,0.2602,0.0594,29.8376
"22","AL","1999",5.74980392156863,1.68478235294118,2.38035098039216,1.07629019607843,2.34917058823529,5.05125098039216,1.03812941176471,5.76914117647059,3.99661176470588,15.5980607843137
"23","AL","2000",6.1843,1.7197152173913,2.58621086956522,0.73270652173913,2.40885434782609,5.54436086956522,1.1476847826087,6.03308043478261,4.09025652173913,15.210647826087
"24","AL","2001",4.99459411764706,1.79912352941176,2.16882549019608,0.423794117647059,1.85262352941176,4.8268137254902,0.960766666666667,5.10948235294118,3.62229019607843,15.220368627451
"25","AL","2002",4.20705925925926,1.37751111111111,1.74924814814815,0.726757142857143,1.88795,4.26537857142857,0.777611111111111,4.75013214285714,3.27157777777778,15.0048517241379
"26","AL","2003",4.89975918367347,1.32970612244898,2.02704285714286,1.03914081632653,1.72473469387755,4.25138979591837,NA,4.94448979591837,3.02701632653061,15.160587755102
"27","AL","2004",5.00877037037037,1.41361481481481,2.16390740740741,1.1572037037037,1.4216962962963,3.91432222222222,NA,4.6861962962963,2.8127,15.1916740740741
"28","AL","2005",5.15157254901961,1.41642156862745,2.1733431372549,1.13584901960784,1.63276078431373,4.57989607843137,NA,5.33750392156863,3.02322745098039,15.1604392156863
"29","AL","2006",4.49965384615385,1.32339038461538,1.81476730769231,1.02608269230769,1.53330769230769,4.02608846153846,NA,4.71048461538462,2.83232115384615,15.2535711538462
"30","AL","2007",4.66168846153846,1.35811538461538,1.89212115384615,1.28898653846154,1.57438269230769,4.40939230769231,NA,5.26914423076923,2.90745576923077,15.2762923076923
"31","AL","2008",3.77370377358491,1.16027547169811,1.53889245283019,0.985460377358491,1.30894528301887,3.02812452830189,NA,3.6854320754717,2.44841132075472,15.1944849056604
"32","AL","2009",2.77891153846154,1.071475,1.20456346153846,0.720651923076923,0.903869230769231,1.52070384615385,NA,2.00139807692308,1.96097115384615,15.0978423076923
"33","AL","2010",2.98224038461538,1.21399230769231,1.32615769230769,0.680259615384615,1.02150192307692,1.65946538461538,NA,2.11318653846154,2.21925,14.9196269230769
