"","state","year","mortality_rate","aar_mortality","incidence_rate","aar_incidence","avg_NO3","avg_SO2","avg_TSO4","avg_TNH4","avg_CA","avg_K","avg_MG","avg_NA","avg_CL","Female"
"1","Alabama",1999,0.000433444281696921,37.8,0.00052065641081099,46,3.99661176470588,5.76914117647059,5.74980392156863,2.38035098039216,NA,NA,NA,NA,NA,1
"2","Alabama",2000,0.000452051493050957,39.1,0.000563653062420886,49.5,4.09025652173913,6.03308043478261,6.1843,2.58621086956522,0.254326086956522,0.120767391304348,0.0502782608695652,0.193489130434783,NA,1
"3","Alabama",2001,0.000458974598786921,39.7,0.000585409110905583,51.1,3.62229019607843,5.10948235294118,4.99459411764706,2.16882549019608,0.238235294117647,0.101929411764706,0.0501627450980392,0.20818431372549,NA,1
"4","Alabama",2002,0.000476155498040503,41.1,0.000620471229751509,53.9,3.27157777777778,4.75013214285714,4.20705925925926,1.74924814814815,0.199914814814815,0.101611111111111,0.045962962962963,0.210074074074074,NA,1
"5","Alabama",2003,0.000497833756226687,42.3,0.000592925597303694,51.1,3.02701632653061,4.94448979591837,4.89975918367347,2.02704285714286,0.197385714285714,0.0920102040816327,0.0388530612244898,0.119385714285714,0.0501714285714286,1
"6","Alabama",2004,0.000499175099246874,42.4,0.000623220325280802,53.3,2.8127,4.6861962962963,5.00877037037037,2.16390740740741,0.184974074074074,0.103266666666667,0.0357111111111111,0.112440740740741,0.0788222222222222,1
"7","Alabama",2005,0.00051178289872135,43.2,0.000651939211234251,55.6,3.02322745098039,5.33750392156863,5.15157254901961,2.1733431372549,0.223005882352941,0.100009803921569,0.0414745098039216,0.122952941176471,0.0610254901960784,1
"8","Alabama",2006,0.000475795227794825,40,0.000622097020306186,52.5,2.83232115384615,4.71048461538462,4.49965384615385,1.81476730769231,0.2489,0.0972326923076923,0.0487269230769231,0.1577,0.0722153846153846,1
"9","Alabama",2007,0.000491011621023772,41,0.000660913273306955,55.7,2.90745576923077,5.26914423076923,4.66168846153846,1.89212115384615,0.259342307692308,0.0940038461538462,0.0556480769230769,0.215151923076923,0.0742788461538462,1
"10","Alabama",2008,0.000474435419793051,39.1,0.000676060186227218,55.9,2.44841132075472,3.6854320754717,3.77370377358491,1.53889245283019,0.222871698113208,0.0898018867924528,0.0456698113207547,0.166369811320755,0.0655811320754717,1
"11","Alabama",2009,0.000523250328103689,42.7,0.000669482660235712,55.2,1.96097115384615,2.00139807692308,2.77891153846154,1.20456346153846,0.184198076923077,0.102451923076923,0.0385019230769231,0.158784615384615,0.0947788461538462,1
"12","Alabama",2010,0.000504375928191812,40.9,0.00065625724634297,52.7,2.21925,2.11318653846154,2.98224038461538,1.32615769230769,0.239117307692308,0.105871153846154,0.0435192307692308,0.136240384615385,0.0534923076923077,1
"13","Alabama",2011,0.000497406726120733,39.8,0.000699364379769428,56.4,2.03768163265306,1.81445102040816,2.85302244897959,1.20474081632653,0.213844897959184,0.104710204081633,0.0469020408163265,0.204081632653061,0.107642857142857,1
"14","Alabama",2012,0.000485911000460507,38.3,0.000664548820546817,52.1,1.82515192307692,1.12483653846154,2.30631923076923,0.910332692307692,0.244757692307692,0.10065,0.0486326923076923,0.181296153846154,0.0864173076923077,1
"15","Alabama",2013,0.000514137990777675,39.9,0.000666892045895358,52,1.70630961538462,0.918603846153846,2.07652692307692,0.918634615384615,0.179017307692308,0.0820192307692308,0.0380057692307692,0.154834615384615,0.0891673076923077,1
"16","Alabama",2014,0.000508676970882753,38.7,0.00065418504056789,49.3,1.685266,1.131572,2.10935,0.855752,0.238832,0.092156,0.04071,0.139722,0.059088,1
"17","Alabama",2015,0.000469066222313396,34.6,0.000669409084529092,49.6,1.66552307692308,0.820532692307692,1.65229423076923,0.716128846153846,0.211194230769231,0.0880846153846154,0.04,0.146109615384615,0.0841326923076923,1
