"","state","year","mortality_rate","aar_mortality","incidence_rate","aar_incidence","Female","avg_NO3_lg","avg_SO2_lg","avg_TSO4_lg","avg_TNH4_lg","avg_CA_lg","avg_K_lg","avg_MG_lg","avg_NA_lg","avg_CL_lg"
"1","Alabama",1999,0.000433444281696921,37.8,0.00052065641081099,46,1,1.38544694333932,1.75252322654243,1.74916575363106,0.867247947563648,NA,NA,NA,NA,NA
"2","Alabama",2000,0.000452051493050957,39.1,0.000563653062420886,49.5,1,1.40860768733956,1.79725773183827,1.82201382239822,0.950193819780541,-1.36913802842363,-2.1138889694552,-2.9901824847691,-1.64253394155374,NA
"3","Alabama",2001,0.000458974598786921,39.7,0.000585409110905583,51.1,1,1.28710647664889,1.63109809829005,1.60835615107061,0.774185772266817,-1.43449646293777,-2.28347474679163,-2.99248265732002,-1.56933146797639,NA
"4","Alabama",2002,0.000476155498040503,41.1,0.000620471229751509,53.9,1,1.18527236939253,1.55817243720847,1.43676389038017,0.559186065988541,-1.60986392909224,-2.28660238848744,-3.07991935978186,-1.5602950767745,NA
"5","Alabama",2003,0.000497833756226687,42.3,0.000592925597303694,51.1,1,1.1075774236592,1.59827378400212,1.58918605771978,0.706578010385401,-1.62259552397483,-2.3858557941528,-3.24796840927556,-2.12539573103006,-2.99230956627649
"6","Alabama",2004,0.000499175099246874,42.4,0.000623220325280802,53.3,1,1.03414487611337,1.54462122915624,1.61119044991685,0.77191557236429,-1.6875396038645,-2.27044063966748,-3.33229340301494,-2.18532894508983,-2.54056031397884
"7","Alabama",2005,0.00051178289872135,43.2,0.000651939211234251,55.6,1,1.10632495311922,1.67475811327459,1.63930201739022,0.776266598267134,-1.50055712960561,-2.30248705858389,-3.1826762620491,-2.09595358887795,-2.79646363002618
"8","Alabama",2006,0.000475795227794825,40,0.000622097020306186,52.5,1,1.04109657118381,1.54979079347527,1.50400047074062,0.595957254369629,-1.39070406960859,-2.33064828345145,-3.02152356639561,-1.84706078501314,-2.62810217246681
"9","Alabama",2007,0.000491011621023772,41,0.000660913273306955,55.7,1,1.06727839264863,1.66186796431411,1.53937771331385,0.637698503381953,-1.34960643857328,-2.36441958101891,-2.88870775849601,-1.53641088142968,-2.59992907635756
"10","Alabama",2008,0.000474435419793051,39.1,0.000676060186227218,55.9,1,0.895439373719882,1.30438777127026,1.3280569524998,0.43106297121298,-1.50115901788016,-2.4101492928429,-3.08631778315451,-1.79354218940529,-2.72446724520363
"11","Alabama",2009,0.000523250328103689,42.7,0.000669482660235712,55.2,1,0.673439837185647,0.693845974807902,1.02205931810601,0.186117228723864,-1.69174359537245,-2.27836163359079,-3.25704708888591,-1.84020661531184,-2.35620903645807
"12","Alabama",2010,0.000504375928191812,40.9,0.00065625724634297,52.7,1,0.797169300966292,0.748197016072675,1.09267482496997,0.282285808001823,-1.43080102030241,-2.24553245397883,-3.13455235193003,-1.99333441955928,-2.92821741686991
"13","Alabama",2011,0.000497406726120733,39.8,0.000699364379769428,56.4,1,0.711812707020112,0.595782953869438,1.04837894075266,0.186264453621955,-1.54250430262897,-2.25655870566707,-3.05969409026923,-1.58923520511658,-2.2289364099709
"14","Alabama",2012,0.000485911000460507,38.3,0.000664548820546817,52.1,1,0.60166322909134,0.117637725954141,0.835652847117872,-0.0939451503426348,-1.40748656882049,-2.29610612689634,-3.02345929299606,-1.70762337575329,-2.44856730272078
"15","Alabama",2013,0.000514137990777675,39.9,0.000666892045895358,52,1,0.53433291876032,-0.0849003201257212,0.730696749608723,-0.0848668250390286,-1.72027278679718,-2.50080153763779,-3.27001730891718,-1.8653977292286,-2.41724081226742
"16","Alabama",2014,0.000508676970882753,38.7,0.00065418504056789,49.3,1,0.521923414846677,0.123607816413446,0.746379843156672,-0.155774664443402,-1.43199490309125,-2.38427248575426,-3.20128151646725,-1.96810054480298,-2.82872742087193
"17","Alabama",2015,0.000469066222313396,34.6,0.000669409084529092,49.6,1,0.510139234408549,-0.197801524873189,0.502164765032345,-0.333895175482206,-1.5549770439567,-2.42945738802438,-3.2188758248682,-1.92339814867027,-2.47536005617594
"18","Alabama",2016,0.000500812224922107,37.1,0.000681838299854142,50.2,1,0.499640098374042,-0.310729638872872,0.301644147467836,-0.544716830667593,-1.3149937545032,-2.48451472659993,-3.079766269164,-1.74624322993539,-2.44122666322053
"19","Alabama",2017,0.000469830109909242,33.7,0.000685268282134968,49.6,1,0.366737606639335,-0.496786810167465,0.226123721576785,-0.659481810619128,-1.48195844969638,-2.44983655036103,-3.12304130702862,-1.71530069095694,-2.28248085206264
"20","Alabama",2018,0.000490025000386236,34.5,0.00069364088575287,49.4,1,0.410840379009357,-0.795669846383489,0.107874276588669,-0.620912390287906,-1.54911197775416,-2.44153774754634,-3.2308218958866,-1.98630154719293,-2.67303580732659
"21","Alabama",1999,0.000869491155805515,98.1,0.00100379899311239,110.3,0,1.38544694333932,1.75252322654243,1.74916575363106,0.867247947563648,NA,NA,NA,NA,NA
"22","Alabama",2000,0.000894694087202664,100.4,0.000996585925526837,109.8,0,1.40860768733956,1.79725773183827,1.82201382239822,0.950193819780541,-1.36913802842363,-2.1138889694552,-2.9901824847691,-1.64253394155374,NA
"23","Alabama",2001,0.000858147162044318,96.2,0.00106202661738962,115.8,0,1.28710647664889,1.63109809829005,1.60835615107061,0.774185772266817,-1.43449646293777,-2.28347474679163,-2.99248265732002,-1.56933146797639,NA
"24","Alabama",2002,0.000871304171963214,96.3,0.00101167325955029,107.9,0,1.18527236939253,1.55817243720847,1.43676389038017,0.559186065988541,-1.60986392909224,-2.28660238848744,-3.07991935978186,-1.5602950767745,NA
"25","Alabama",2003,0.000894732640122014,97.3,0.00100301823143934,106.6,0,1.1075774236592,1.59827378400212,1.58918605771978,0.706578010385401,-1.62259552397483,-2.3858557941528,-3.24796840927556,-2.12539573103006,-2.99230956627649
"26","Alabama",2004,0.000859147273529873,92,0.00107028590816062,111.9,0,1.03414487611337,1.54462122915624,1.61119044991685,0.77191557236429,-1.6875396038645,-2.27044063966748,-3.33229340301494,-2.18532894508983,-2.54056031397884
"27","Alabama",2005,0.000877723327679306,93.3,0.00100886179497812,104.5,0,1.10632495311922,1.67475811327459,1.63930201739022,0.776266598267134,-1.50055712960561,-2.30248705858389,-3.1826762620491,-2.09595358887795,-2.79646363002618
"28","Alabama",2006,0.00084065039418302,88.7,0.00104479561185843,106.4,0,1.04109657118381,1.54979079347527,1.50400047074062,0.595957254369629,-1.39070406960859,-2.33064828345145,-3.02152356639561,-1.84706078501314,-2.62810217246681
"29","Alabama",2007,0.000871747224202351,90.1,0.00100504730608038,100.7,0,1.06727839264863,1.66186796431411,1.53937771331385,0.637698503381953,-1.34960643857328,-2.36441958101891,-2.88870775849601,-1.53641088142968,-2.59992907635756
"30","Alabama",2008,0.000841801980725969,85.9,0.00108699975392808,108,0,0.895439373719882,1.30438777127026,1.3280569524998,0.43106297121298,-1.50115901788016,-2.4101492928429,-3.08631778315451,-1.79354218940529,-2.72446724520363
"31","Alabama",2009,0.000868481356874402,87.2,0.00104468869099598,102.7,0,0.673439837185647,0.693845974807902,1.02205931810601,0.186117228723864,-1.69174359537245,-2.27836163359079,-3.25704708888591,-1.84020661531184,-2.35620903645807
"32","Alabama",2010,0.00085837722794952,85,0.00104262269112023,100.9,0,0.797169300966292,0.748197016072675,1.09267482496997,0.282285808001823,-1.43080102030241,-2.24553245397883,-3.13455235193003,-1.99333441955928,-2.92821741686991
"33","Alabama",2011,0.000831094889131512,79.6,0.000984428674878256,92.8,0,0.711812707020112,0.595782953869438,1.04837894075266,0.186264453621955,-1.54250430262897,-2.25655870566707,-3.05969409026923,-1.58923520511658,-2.2289364099709
"34","Alabama",2012,0.000796331736388507,75.7,0.00102024652033001,94.5,0,0.60166322909134,0.117637725954141,0.835652847117872,-0.0939451503426348,-1.40748656882049,-2.29610612689634,-3.02345929299606,-1.70762337575329,-2.44856730272078
"35","Alabama",2013,0.000804722633240296,74.9,0.000974205331063318,89,0,0.53433291876032,-0.0849003201257212,0.730696749608723,-0.0848668250390286,-1.72027278679718,-2.50080153763779,-3.27001730891718,-1.8653977292286,-2.41724081226742
"36","Alabama",2014,0.000787357291490917,71.5,0.000992291738031573,87.8,0,0.521923414846677,0.123607816413446,0.746379843156672,-0.155774664443402,-1.43199490309125,-2.38427248575426,-3.20128151646725,-1.96810054480298,-2.82872742087193
"37","Alabama",2015,0.000768401885667583,68,0.000965286264784401,83.7,0,0.510139234408549,-0.197801524873189,0.502164765032345,-0.333895175482206,-1.5549770439567,-2.42945738802438,-3.2188758248682,-1.92339814867027,-2.47536005617594
"38","Alabama",2016,0.000744184387920015,64.9,0.000983613934290174,83.5,0,0.499640098374042,-0.310729638872872,0.301644147467836,-0.544716830667593,-1.3149937545032,-2.48451472659993,-3.079766269164,-1.74624322993539,-2.44122666322053
"39","Alabama",2017,0.000747874979384682,63.4,0.000949258548096544,78.9,0,0.366737606639335,-0.496786810167465,0.226123721576785,-0.659481810619128,-1.48195844969638,-2.44983655036103,-3.12304130702862,-1.71530069095694,-2.28248085206264
"40","Alabama",2018,0.000720173315505306,60.1,0.000934278895790667,76.1,0,0.410840379009357,-0.795669846383489,0.107874276588669,-0.620912390287906,-1.54911197775416,-2.44153774754634,-3.2308218958866,-1.98630154719293,-2.67303580732659
"41","Alaska",1999,0.000238991456055446,42.8,0.000431512351211222,73.2,1,-1.69110784912405,-0.619460415113738,-1.11351962714364,-2.23841962530323,NA,NA,NA,NA,NA
"42","Alaska",2000,0.000310013093106166,50.9,0.000352887244280423,56,1,-1.84349305191584,-1.03960608808856,-1.1458786144692,-2.29875405695446,-3.85600626869459,-3.28678411988574,-4.51772300653825,-2.95876261282925,NA
"43","Alaska",2001,0.000287977904240802,47.2,0.000399242094515657,62.2,1,-1.91141306517319,-0.95387951003128,-1.05651490977657,-2.31518894131278,-3.39208191123062,-4.42106450740064,-4.62537289330561,-3.08132128596052,NA
"44","Alaska",2002,0.00025514076341992,39.3,0.000397244479755065,59,1,-1.58750708379413,-0.987234337223385,-1.04504235701773,-2.08832705503704,-3.48578163656697,-4.01802475227178,-4.69463211557812,-3.43979828693603,NA
"45","Alaska",2003,0.000239590587603902,38.6,0.000402512187174556,63,1,-1.81586570377164,-0.921227899653972,-1.05638935592023,-2.18341635120536,-3.64451813041518,-4.33087735065533,-4.62008079872385,-3.39465880482257,-3.07971188734927
"46","Alaska",2004,0.000333535762270812,51.1,0.00044366549509608,66.7,1,-1.38738245287708,-0.934160384819561,-1.03566389830613,-1.76140607984188,-2.86519755397244,-3.32124602431478,-4.22748317485193,-3.22184899034762,-3.06947973377687
"47","Alaska",2005,0.000292907889816777,45,0.000517262869250904,79,1,-1.7095770405568,-0.714598705001682,-1.05652586310858,-1.95838182891604,-3.8026513145316,-3.87548710618218,-4.68625510324007,-3.41808924933237,-3.50393313988337
"48","Alaska",2006,0.000298350460290169,44.7,0.000467518247052636,66.7,1,-2.02912126954454,-0.489000181507705,-0.732511904082222,-2.09600143233417,-3.74858782914602,-4.22445324756912,-4.4614943442918,-3.15553287107771,-3.10043940794061
"49","Alaska",2007,0.000311795022284174,44.7,0.000400442626659086,53.1,1,-1.95316137576951,-0.676339228910578,-0.969189565462409,-2.19371344090403,-3.85820885261424,-4.31854636559524,-4.66214762073063,-3.44147865701276,-3.63271726283467
"50","Alaska",2008,0.000358214029847122,48,0.000497856787245152,65.5,1,-1.96866327574046,-0.708728315811104,-0.844988579145263,-2.12628793581748,-3.78672113735774,-4.18027247834005,-4.41861233196671,-2.98903775082732,-3.19524221737254
"51","Alaska",2009,0.000335309582732447,47.3,0.000459937923217073,60.1,1,-1.85755416363639,-0.788493899493354,-0.522382532936799,-1.90695019474874,-3.49160613158487,-3.71648785193905,-4.33265056159652,-2.87682166871454,-2.95817714790522
"52","Alaska",2010,0.000335946902861683,45.2,0.000493695883335865,62.5,1,-2.07815609371239,-0.697690820609818,-1.17288588539655,-2.29001734025977,-3.57212526998391,-3.76216724988377,-4.45169200114247,-3.20785830982449,-3.3034836755305
"53","Alaska",2011,0.000323393786796871,42.6,0.000467766013045474,62.4,1,-2.18174690002736,-1.05739468010572,-0.991117897496754,-2.15589071384324,-3.8015314453531,-4.33016427146748,-4.60075686212131,-3.1347291240712,-3.0857832304246
"54","Alaska",2012,0.000320354220237806,42.6,0.000486251941432384,57.4,1,-2.04509480609435,-0.813614948963762,-1.13068727270961,-2.2509060239705,-3.65242016993728,-4.3671937909998,-4.41268037576488,-3.11027528075714,-3.2020836437703
"55","Alaska",2013,0.000381292753161315,44.7,0.000384138221468489,44.2,1,-2.0602122310361,-0.983175593259969,-0.8370575233543,-2.09469575946059,-3.71002452053999,-4.30563555650559,-4.6003740137246,-3.2426169671731,-3.40682859182188
"56","Alaska",2014,0.000293693292957634,34.5,0.000433411461452042,48.7,1,-2.22443174299769,-1.05180761075616,-1.12374668152132,-2.27119823898337,-3.66238733590188,-4.33074872502006,-4.74841896956542,-3.60609494648132,-3.71704153991048
"57","Alaska",2015,0.000324547768307056,36.6,0.000461199460225817,48.7,1,-2.08304803727395,-0.924671909876465,-1.2842724894598,-2.34505106631236,-3.51402157886007,-4.23999302699363,-4.72886005576782,-3.54798103402846,-3.59616004003419
"58","Alaska",2016,0.000274460204685064,32.2,0.000478183243214184,51,1,-2.36918586983886,-1.15958697174884,-1.64219407569286,-2.72289513807916,-3.67780376176518,-4.41828390004202,-4.8701063824901,-3.68840897657056,-3.48196093731948
"59","Alaska",2017,0.000237676878283973,25,0.000486671703152897,50.1,1,-2.23914092043751,-1.22843627650431,-1.28628252417529,-2.43353695831878,-3.80514364380105,-4.24567921078988,-4.65058604951857,-3.04265618026571,-2.91433663535
